date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:06	18217/18217	---M--	200	added ('OK')	image/jpeg	etag:%221d35306b25cb0ad9fafa002298bbd219%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988923_somer05.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988923_somer05.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:06	23025/23025	---M--	200	added ('OK')	image/jpeg	etag:%22120dbfedde9f2104f26814646b50df7c%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988999_somer06.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988999_somer06.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:07	23241/23241	---M--	200	added ('OK')	image/jpeg	etag:%2219685bc78241e91554a5c0772ca5259b%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989060_somer07.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989060_somer07.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:07	21966/21966	---M--	200	added ('OK')	image/jpeg	etag:%22ebbce6834c4a7cd6e77ea55e7c29c225%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989113_somer08.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989113_somer08.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:07	20771/20771	---M--	200	added ('OK')	image/jpeg	etag:%22d4525f9bab12c5b8862c472618527284%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989235_somer09.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989235_somer09.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:07	23061/23061	---M--	200	added ('OK')	image/jpeg	etag:%22b45461fb18c9eeec3c5e6d8e611c519a%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989314_somer10.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989314_somer10.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:08	22647/22647	---M--	200	added ('OK')	image/jpeg	etag:%2237d8ac631ad25cdeb668ee94c0d02272%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989407_somer11.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989407_somer11.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:08	20514/20514	---M--	200	added ('OK')	image/jpeg	etag:%224f6ba3ed332b989848b3a018be69ac23%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989452_somer12.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989452_somer12.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:08	24678/24678	---M--	200	added ('OK')	image/jpeg	etag:%229eee77e92f1b350f56f82b7977f1d2df%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989564_somer13.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989564_somer13.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:08	22681/22681	---M--	200	added ('OK')	image/jpeg	etag:%22a430fe1ffa0bc65cbca144ea00b50ad8%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989622_somer14.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721989622_somer14.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
